quote,author,url,tags
"“This life is what you make it. No matter what, you&#39;re going to mess up sometimes, it&#39;s a universal truth. But the good part is you get to decide how you&#39;re going to mess it up. Girls will be your friends - they&#39;ll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they&#39;re your true best friends. Don&#39;t let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they&#39;ll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can&#39;t give up because if you give up, you&#39;ll never find your soulmate. You&#39;ll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn&#39;t mean you&#39;re gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don&#39;t, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life&#39;s a beautiful thing and there&#39;s so much to smile about.”",Marilyn Monroe,/author/Marilyn-Monroe,"[{'tag': 'friends', 'url': '/tag/friends/page/1/'}, {'tag': 'heartbreak', 'url': '/tag/heartbreak/page/1/'}, {'tag': 'inspirational', 'url': '/tag/inspirational/page/1/'}, {'tag': 'life', 'url': '/tag/life/page/1/'}, {'tag': 'love', 'url': '/tag/love/page/1/'}, {'tag': 'sisters', 'url': '/tag/sisters/page/1/'}]"
"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”",J.K. Rowling,/author/J-K-Rowling,"[{'tag': 'courage', 'url': '/tag/courage/page/1/'}, {'tag': 'friends', 'url': '/tag/friends/page/1/'}]"
"“If you can&#39;t explain it to a six year old, you don&#39;t understand it yourself.”",Albert Einstein,/author/Albert-Einstein,"[{'tag': 'simplicity', 'url': '/tag/simplicity/page/1/'}, {'tag': 'understand', 'url': '/tag/understand/page/1/'}]"
"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She&#39;s not perfect—you aren&#39;t either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don&#39;t hurt her, don&#39;t change her, don&#39;t analyze and don&#39;t expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she&#39;s not there.”",Bob Marley,/author/Bob-Marley,"[{'tag': 'love', 'url': '/tag/love/page/1/'}]"
"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”",Dr. Seuss,/author/Dr-Seuss,"[{'tag': 'fantasy', 'url': '/tag/fantasy/page/1/'}]"
"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”",Douglas Adams,/author/Douglas-Adams,"[{'tag': 'life', 'url': '/tag/life/page/1/'}, {'tag': 'navigation', 'url': '/tag/navigation/page/1/'}]"
"“The opposite of love is not hate, it&#39;s indifference. The opposite of art is not ugliness, it&#39;s indifference. The opposite of faith is not heresy, it&#39;s indifference. And the opposite of life is not death, it&#39;s indifference.”",Elie Wiesel,/author/Elie-Wiesel,"[{'tag': 'activism', 'url': '/tag/activism/page/1/'}, {'tag': 'apathy', 'url': '/tag/apathy/page/1/'}, {'tag': 'hate', 'url': '/tag/hate/page/1/'}, {'tag': 'indifference', 'url': '/tag/indifference/page/1/'}, {'tag': 'inspirational', 'url': '/tag/inspirational/page/1/'}, {'tag': 'love', 'url': '/tag/love/page/1/'}, {'tag': 'opposite', 'url': '/tag/opposite/page/1/'}, {'tag': 'philosophy', 'url': '/tag/philosophy/page/1/'}]"
"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",Friedrich Nietzsche,/author/Friedrich-Nietzsche,"[{'tag': 'friendship', 'url': '/tag/friendship/page/1/'}, {'tag': 'lack-of-friendship', 'url': '/tag/lack-of-friendship/page/1/'}, {'tag': 'lack-of-love', 'url': '/tag/lack-of-love/page/1/'}, {'tag': 'love', 'url': '/tag/love/page/1/'}, {'tag': 'marriage', 'url': '/tag/marriage/page/1/'}, {'tag': 'unhappy-marriage', 'url': '/tag/unhappy-marriage/page/1/'}]"
"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain,/author/Mark-Twain,"[{'tag': 'books', 'url': '/tag/books/page/1/'}, {'tag': 'contentment', 'url': '/tag/contentment/page/1/'}, {'tag': 'friends', 'url': '/tag/friends/page/1/'}, {'tag': 'friendship', 'url': '/tag/friendship/page/1/'}, {'tag': 'life', 'url': '/tag/life/page/1/'}]"
“Life is what happens to us while we are making other plans.”,Allen Saunders,/author/Allen-Saunders,"[{'tag': 'fate', 'url': '/tag/fate/page/1/'}, {'tag': 'life', 'url': '/tag/life/page/1/'}, {'tag': 'misattributed-john-lennon', 'url': '/tag/misattributed-john-lennon/page/1/'}, {'tag': 'planning', 'url': '/tag/planning/page/1/'}, {'tag': 'plans', 'url': '/tag/plans/page/1/'}]"
